asset_id,source_id,region,price,currency,unit,age_minutes
gold,stooq_gold,PL,2912.668,USD,USD_PER_TROY_OUNCE,30
gold,yahoo_gold,US,2917.332,USD,USD_PER_TROY_OUNCE,30
silver,stooq_silver,PL,32.9736,USD,USD_PER_TROY_OUNCE,30
silver,yahoo_silver,US,33.0264,USD,USD_PER_TROY_OUNCE,30
platinum,stooq_platinum,PL,1044.164,USD,USD_PER_TROY_OUNCE,30
platinum,yahoo_platinum,US,1045.836,USD,USD_PER_TROY_OUNCE,30
palladium,stooq_palladium,PL,1099.12,USD,USD_PER_TROY_OUNCE,30
palladium,yahoo_palladium,US,1100.88,USD,USD_PER_TROY_OUNCE,30
copper,stooq_copper,PL,9442.44,USD,USD_PER_METRIC_TON,30
copper,yahoo_copper,US,9457.56,USD,USD_PER_METRIC_TON,30
aluminum,stooq_aluminum,PL,2517.984,USD,USD_PER_METRIC_TON,30
aluminum,yahoo_aluminum,US,2522.016,USD,USD_PER_METRIC_TON,30
wti,stooq_wti,PL,68.34528,USD,USD_PER_BARREL,30
wti,yahoo_wti,US,68.45472,USD,USD_PER_BARREL,30
brent,stooq_brent,PL,72.14224,USD,USD_PER_BARREL,30
brent,yahoo_brent,US,72.25776,USD,USD_PER_BARREL,30
natural_gas,stooq_natgas,PL,2.84772,USD,USD_PER_MMBTU,30
natural_gas,yahoo_natgas,US,2.85228,USD,USD_PER_MMBTU,30
wheat,stooq_wheat,PL,237.40992,USD,USD_PER_METRIC_TON,30
wheat,yahoo_wheat,US,237.79008,USD,USD_PER_METRIC_TON,30
corn,stooq_corn,PL,188.8488,USD,USD_PER_METRIC_TON,30
corn,yahoo_corn,US,189.1512,USD,USD_PER_METRIC_TON,30
cotton,stooq_cotton,PL,0.755395,USD,USD_PER_POUND,30
cotton,yahoo_cotton,US,0.756605,USD,USD_PER_POUND,30
sugar,stooq_sugar,PL,0.226619,USD,USD_PER_POUND,30
sugar,yahoo_sugar,US,0.226981,USD,USD_PER_POUND,30
coffee,stooq_coffee,PL,3.453235,USD,USD_PER_POUND,30
coffee,yahoo_coffee,US,3.458765,USD,USD_PER_POUND,100000
